Address A,Address B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"17.253.18.195","172.20.40.252",9,642,19,5,354,4,288,41.165878,0.003109000000002027,"",""
"31.13.66.51","172.20.40.252",101,14385,0,56,9622,45,4763,0,112.329078,685,339
"172.20.40.81","172.20.40.252",2,353,23,1,109,1,244,71.710619,0.0005270000000052733,"",""
"172.20.40.90","172.20.40.252",9,774,4,9,774,0,0,3.276889,109.414711,56,0
"172.20.40.119","172.20.40.252",9,774,2,9,774,0,0,3.276888,109.389587,56,0
"172.20.40.132","172.20.40.252",2,353,7,1,109,1,244,3.434564,0.00047200000000025,"",""
"172.20.40.139","172.20.40.252",9,774,5,9,774,0,0,3.277313,109.449698,56,0
"172.20.40.154","172.20.40.252",6,1581,16,3,258,3,1323,31.65009,14.592244,141,725
"172.20.40.225","172.20.40.252",7,602,3,7,602,0,0,3.276889,87.35857800000001,55,0
"172.20.40.251","172.20.40.252",2,353,52,1,109,1,244,113.94694,0.00028500000000519776,"",""
"172.20.40.252","8.8.4.4",478,102270,17,226,36618,252,65652,38.069348,76.66566900000001,3821,6850
"172.20.40.252","35.186.224.22",35,13346,11,18,7512,17,5834,15.077514,67.593402,889,690
"172.20.40.252","35.186.224.24",45,16149,9,23,8796,22,7353,4.473866,95.29562299999999,738,617
"172.20.40.252","35.186.224.35",32,2684,10,16,1356,16,1328,8.602324,95.45545100000001,113,111
"172.20.40.252","57.144.57.32",32,6662,25,18,2532,14,4130,95.218592,0.24994099999999264,81043,132191
"172.20.40.252","104.199.241.202",6,429,21,3,209,3,220,49.607716,59.859998999999995,27,29
"172.20.40.252","116.119.92.36",7,530,24,4,282,3,248,80.544531,0.00963399999999126,234170,205937
"172.20.40.252","116.119.92.227",153,150454,15,36,7025,117,143429,26.375508,0.13556900000000027,414549,8463822
"172.20.40.252","118.95.161.134",24,5524,18,13,4112,11,1412,38.12104,60.676168,542,186
"172.20.40.252","142.250.77.130",32,15016,31,15,7111,17,7905,97.946377,0.18919900000000212,300678,334251
"172.20.40.252","142.250.182.78",4159,3774166,27,1189,145020,2970,3629146,96.640874,19.282813000000004,60165,1505650
"172.20.40.252","142.250.205.37",46,18169,44,26,6268,20,11901,104.485554,0.04687900000000411,1069647,2030930
"172.20.40.252","142.250.205.136",30,14084,33,13,6636,17,7448,98.092927,0.09809699999999566,541178,607398
"172.20.40.252","142.250.206.14",29,18367,49,13,9984,16,8383,112.788518,0.30999300000000574,257657,216340
"172.20.40.252","142.251.10.119",15,5700,38,8,2818,7,2882,98.797595,0.11314799999999536,199243,203768
"172.20.40.252","142.251.12.119",341,308504,28,96,12213,245,296291,96.850692,16.942484000000007,5766,139904
"172.20.40.252","142.251.12.132",25,12278,51,13,4822,12,7456,113.533924,0.10282999999999731,375143,580064
"172.20.40.252","142.251.43.42",104,54474,26,47,28450,57,26024,96.276017,12.152251000000007,18729,17131
"172.20.40.252","142.251.43.227",45,31752,42,23,15384,22,16368,99.456702,5.775408999999996,21309,22672
"172.20.40.252","142.251.43.238",138,95665,37,61,27163,77,68502,98.617799,1.0237529999999992,212262,535300
"172.20.40.252","142.251.221.101",472,292097,43,204,57735,268,234362,104.470368,3.6392060000000015,126917,515193
"172.20.40.252","142.251.221.142",31,18208,36,14,7691,17,10517,98.456472,0.17404899999999657,353509,483404
"172.20.40.252","142.251.221.166",43,29926,40,19,14368,24,15558,98.901012,15.863724000000005,7245,7845
"172.20.40.252","142.251.222.162",57,30488,39,25,13799,32,16689,98.888656,12.367996000000005,8925,10794
"172.20.40.252","142.251.222.195",79,40008,47,42,17933,37,22075,105.598739,6.981861000000009,20548,25294
"172.20.40.252","142.251.222.206",124,80329,35,55,26148,69,54181,98.183503,16.908694999999994,12371,25634
"172.20.40.252","142.251.223.174",1056,983658,45,340,109399,716,874259,104.692966,3.243184999999997,269855,2156544
"172.20.40.252","142.251.223.225",34,15537,48,19,6709,15,8828,105.886136,0.3156110000000041,170057,223769
"172.20.40.252","142.251.223.227",90,55948,41,42,26091,48,29857,99.051374,15.742090000000005,13259,15173
"172.20.40.252","172.20.47.255",4,344,13,4,344,0,0,22.609835,90.00612,30,0
"172.20.40.252","172.20.72.11",6,583,14,3,263,3,320,26.369481,68.84733600000001,30,37
"172.20.40.252","172.64.155.209",1069,657047,22,636,500007,433,157040,66.498159,49.849399000000005,80242,25202
"172.20.40.252","172.217.24.110",73,38027,29,38,22433,35,15594,97.321494,12.088515000000001,14845,10319
"172.20.40.252","172.217.24.131",25,14761,50,12,7327,13,7434,113.108548,0.0988619999999969,592907,601565
"172.20.40.252","172.217.24.132",1171,670979,12,411,73475,760,597504,20.221203,95.71267999999999,6141,49941
"172.20.40.252","172.217.194.188",12,720,8,6,324,6,396,3.972627,91.627027,28,34
"172.20.40.252","192.178.211.84",53,23486,34,27,11235,26,12251,98.106144,1.032595999999998,87042,94914
"172.20.40.252","216.239.32.223",63,31200,30,29,10028,34,21172,97.646513,7.0400240000000025,11395,24059
"172.20.40.252","216.239.38.223",29,16568,46,13,7684,16,8884,104.703769,0.11029100000000369,557361,644404
"172.20.40.252","224.0.0.251",10,2031,6,10,2031,0,0,3.308808,109.473603,148,0
"172.20.40.252","239.255.255.250",5,1019,20,5,1019,0,0,45.700432,3.0019849999999977,2715,0
"172.20.42.169","172.20.40.252",2,527,32,1,86,1,441,97.953212,0.07048500000000502,9760,50053
"172.64.148.235","172.20.40.252",48,4651,1,23,2293,25,2358,0.118012,116.58163300000001,157,161
