"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,10515,100,7678031,526344.7714658665,0,0,0,10515
"Ethernet",100,10515,1.9319015513222075,148332,10168.462805252402,0,0,0,10515
"Internet Protocol Version 6",0.0951022349025202,10,0.005209668989354171,400,27.420820336144335,0,0,0,10
"User Datagram Protocol",0.0951022349025202,10,0.0010419337978708344,80,5.484164067228867,0,0,0,10
"Multicast Domain Name System",0.0951022349025202,10,0.020981941854623928,1611,110.4373539038213,10,1611,110.4373539038213,10
"Internet Protocol Version 4",99.74322396576319,10488,2.7319504180173277,209760,14379.478184274089,0,0,0,10488
"User Datagram Protocol",91.41226818830242,9612,1.001506766513446,76896,5271.378501420387,0,0,0,9612
"Simple Service Discovery Protocol",0.0475511174512601,5,0.010536555530968812,809,55.458609129851915,5,809,55.458609129851915,5
"QUIC IETF",90.61340941512125,9528,89.71692091370822,6888493,472220.3223494697,9527,6869245,470900.8324748945,9596
"VSS Monitoring Ethernet trailer",0.009510223490252021,1,0.00010419337978708344,8,0.5484164067228866,1,8,0.5484164067228866,1
"Multicast Domain Name System",0.5515929624346172,58,0.07405544468366955,5686,389.7869610782917,58,5686,389.7869610782917,58
"Domain Name System",0.05706134094151213,6,0.004311001088690577,331,22.690728828159436,6,331,22.690728828159436,6
"Data",0.14265335235378032,15,0.03921578331736353,3011,206.41022508032646,15,3011,206.41022508032646,15
"Transmission Control Protocol",8.302425106990015,873,0.3640516689760695,27952,1916.166925089766,529,16944,1161.5459494390739,873
"Transport Layer Security",3.271516880646695,344,4.1249638090807395,316716,21711.53133395572,344,288887,19803.79631111932,364
"Internet Control Message Protocol",0.028530670470756064,3,0.0014066106271256264,108,7.40362149075897,3,108,7.40362149075897,3
"Address Resolution Protocol",0.16167379933428436,17,0.0061995060973314645,476,32.63077620001176,17,476,32.63077620001176,17
